Titulo,Precio,Rating,Ubicacion,Ventas 60 dias
"Laptop Dell Inspiron 3505 gris 15.6"", AMD Ryzen 5 3450U  16GB de RAM 256GB SSD, AMD Radeon RX Vega 8 (Ryzen 2000/3000) 60 Hz 1366x768px Windows 10 Home",2.330.000,4.6,"Chapinero, Bogotá D.C..",+500
"Laptop HP 245 G7 negra 14"", AMD Ryzen 5 3500U  8GB de RAM 256GB SSD, AMD Radeon RX Vega 8 1366x768px Windows 10 Pro",1.698.172,4.6,"Chapinero, Bogotá D.C..",+100
"Laptop gamer Asus TUF Dash F15 FX516PC gris eclipse 15.6"", Intel Core i5 11300H  8GB de RAM 512GB SSD, NVIDIA GeForce RTX 3050 144 Hz 1920x1080px",3.910.975,0,"Suba, Bogotá D.C..",+100
Portatil Gamer Acer Nitro 5 Intel Core I5 8gb 512ssd Gtx1650,3.793.850,0,,0
Portátil Gamer Hp Victus Intel Core I5 8gb 512gb 16-d0508la ,6.158.880,0,"Cota, Cundinamarca.",+100
"Laptop HP 245 G7 negra 14"", AMD 3020E  8GB de RAM 1TB HDD, AMD Radeon RX Vega 3 1366x768px Windows 10 Home",1.040.000,4.6,"Chapinero, Bogotá D.C..",+100
"Laptop Lenovo IdeaPad 14IGL05  platinum gray 14"", Intel Celeron N4020  4GB de RAM 1TB HDD, Intel HD Graphics 600 1366x768px Windows 10 Home",890.000,4.6,"Chapinero, Bogotá D.C..",+100
"Laptop gamer Asus TUF Gaming A15 FA507RE jaeger gray 15.6"", AMD Ryzen 7 6800H  16GB de RAM 512GB SSD, NVIDIA GeForce RTX 3050 Ti 144 Hz 1920x1080px Windows 11 Home",5.699.999,4.8,"Chapinero, Bogotá D.C..",+100
"Laptop Asus M515DA gris 15.6"", AMD Ryzen 5 3500U  16GB de RAM 1TB HDD 512GB SSD, AMD Radeon RX Vega 8 (Ryzen 2000/3000) 1920x1080px Windows 10",2.780.000,0,"Chapinero, Bogotá D.C..",+100
"Laptop Dell Vostro 3405 negra 14"", AMD Ryzen 5 3450U  16GB de RAM 256GB SSD, AMD Radeon RX Vega 8 60 Hz 1366x768px Linux",1.790.000,4.7,"Cali, Valle Del Cauca.",+1000
"MacBook Air M2 2022 midnight 13.6"", Apple M2  8GB de RAM 256GB SSD, Apple M2 8-Core GPU 2560x1664px macOS",6.500.000,0,"Cali, Valle Del Cauca.",+1000
"Laptop Lenovo IdeaPad 15IML05  abyss blue 15.6"", Intel Core i3 10110U  12GB de RAM 256GB SSD, Intel UHD Graphics 620 1366x768px FreeDOS",1.750.000,0,"Chapinero, Bogotá D.C..",+100
"Laptop Asus VivoBook X543UA gris oscura 15.6"", Intel Core i5 8250U  8GB de RAM 256GB SSD, Intel UHD Graphics 620 1920x1080px Windows 10 Home",2.414.221,4.7,"Usaquén, Bogotá D.C..",+100
"Laptop gamer Asus TUF Gaming FX506LH fortress gray 15.6"", Intel Core i5 10300H  8GB de RAM 512GB SSD, NVIDIA GeForce GTX 1650 144 Hz 1920x1080px FreeDOS",3.529.900,5.0,"Bucaramanga, Santander.",+500
Portátil Hp 245 G7 Amd Athlon 3020e 14 4gb 1tb Windows 10 ,949.000,0,"Chapinero, Bogotá D.C..",+1000
Laptop Asus X415ea-ek1182 Intel Core I3 1115g4 14 4gb 256ssd,1.398.750,0,"Chapinero, Bogotá D.C..",+1000
"Laptop HP 255 G7 gris 15.6"", AMD Athlon 3020E  8GB de RAM 1TB HDD, AMD Radeon RX Vega 3 1366x768px FreeDOS",1.400.000,0,"Chapinero, Bogotá D.C..",+100
"Laptop Dell Inspiron 3505 silver 15.6"", AMD Ryzen 5 3450U  8GB de RAM 256GB SSD, AMD Radeon RX Vega 8 (Ryzen 2000/3000) 60 Hz 1366x768px Windows 11 Home",1.980.000,0,"Chapinero, Bogotá D.C..",+50
"Laptop Asus VivoBook E410MA blanca 14"", Intel Celeron N4020  4GB de RAM 128GB SSD, Intel UHD Graphics 600 1366x768px Windows 10 Home",949.000,0,"Bucaramanga, Santander.",+1000
"Laptop Dell Inspiron 3505 negra 15.6"", AMD Ryzen 5 3450U  12GB de RAM 1TB HDD 256GB SSD, AMD Radeon RX Vega 8 (Ryzen 2000/3000) 60 Hz 1920x1080px Windows 10 Home",2.180.000,4.6,"Chapinero, Bogotá D.C..",+100
"Apple MacBook Pro (13 pulgadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Gris espacial",5.199.900,5.0,"Fontibón, Bogotá D.C..",+5
Portatil Asus Ryzen 5 4600h Ram 24gb Solido 512gb Fhd Wifi+6,3.428.429,4.9,"Suba, Bogotá D.C..",+1000
"Laptop Dell Vostro 3400 negra 14"", Intel Core i3 1115G4  8GB de RAM 1TB HDD, Intel UHD Graphics 60 Hz 1366x768px Windows 10 Pro",2.085.571,5.0,"Suba, Bogotá D.C..",+1000
"Laptop Asus X415EA gris 14"", Intel Core i3 1115G4  12GB de RAM 256GB SSD, Intel UHD Graphics Xe G4 48EUs 1920x1080px Linux Endless",2.142.714,4.7,"Suba, Bogotá D.C..",+1000
"Laptop HP 240 G7 plateado ceniza oscuro 14"", Intel Celeron N4000  4GB de RAM 500GB HDD, Intel UHD Graphics 600 1366x768px Windows 10 Home",1.045.000,0,"Chapinero, Bogotá D.C..",+100
"Laptop Asus VivoBook X415JA transparent silver 14"", Intel Core i3 1005G1  4GB de RAM 1TB HDD, Intel UHD Graphics G1 1920x1080px Linux Endless",1.670.000,4.6,"Chapinero, Bogotá D.C..",+100
"Laptop Asus VivoBook X543UA gray 15.6"", Intel Core i5 8250U  8GB de RAM 1TB HDD, Intel UHD Graphics 620 1366x768px Windows 10 Home",1.930.777,4.7,"Cali, Valle Del Cauca.",+100
"Laptop Dell Inspiron 3515 plateada 15.5"", AMD Ryzen 5 3450U  8GB de RAM 256GB SSD, AMD Radeon RX Vega 8 (Ryzen 2000/3000) 1366x768px Windows 11 Home",1.899.900,4.7,"Suba, Bogotá D.C..",+1000
"Laptop HP 245 G7 negra 14"", AMD Athlon 3020E  8GB de RAM 1TB HDD, AMD Radeon RX Vega 3 1366x768px FreeDOS",1.004.490,4.6,"Usaquén, Bogotá D.C..",+100
"MacBook Air M2 2022 space gray 13.6"", Apple M2  8GB de RAM 256GB SSD, Apple M2 10-Core GPU 2560x1664px macOS",5.990.000,0,"Medellín, Antioquia.",+25
"Laptop Dell Inspiron 3505 negra 15.6"", AMD Ryzen 5 3450U  8GB de RAM 256GB SSD, AMD Radeon RX Vega 8 (Ryzen 2000/3000) 60 Hz 1366x768px Windows 10 Home",1.792.000,0,"Chapinero, Bogotá D.C..",+100
"Laptop Lenovo IdeaPad 14ADA05  platinum gray 14"", AMD Athlon Silver 3050U  8GB de RAM 256GB SSD, AMD Radeon RX Vega 2 1366x768px Windows 10 Home",1.450.000,4.8,"Chapinero, Bogotá D.C..",+100
"Laptop Asus X415EA transparent silver 14"", Intel Core i3 1115G4  4GB de RAM 256GB SSD, Intel UHD Graphics Xe G4 48EUs 1366x768px Linux Endless",1.584.244,0,"Chapinero, Bogotá D.C..",+100
"Laptop gamer Asus TUF Dash F15 negra eclipse 15.6"", Intel Core i7 11370H  8GB de RAM 512GB SSD, NVIDIA GeForce RTX 3050 Ti 144 Hz 1920x1080px Windows 10",5.999.900,5.0,"Suba, Bogotá D.C..",+100
"Laptop HP 245 G8 plateado ceniza oscuro 14"", AMD Ryzen 5 3500U  8GB de RAM 1TB HDD, AMD Radeon RX Vega 8 (Ryzen 2000/3000) 1366x768px Windows 10 Home",1.650.000,4.3,"Chapinero, Bogotá D.C..",+100
Laptop Asus X415ea-ek1182 Intel Core I3 1115g4 14 4gb 256ssd,1.452.200,4.8,"Chapinero, Bogotá D.C..",+1000
Portatil Hp 14-cf2516la Intel Core I3 10110u 8gb 512gb Ssd,1.406.100,0,"Chapinero, Bogotá D.C..",+1000
Laptop Asus Tuf Onceava I5 11300h Ram 16gb Ssd 512gb Rtx3050,5.714.143,0,"Suba, Bogotá D.C..",+1000
Portátil Asus Tuf Fx506l Core I5 H 10ma 20gb Ssd 512g Tv 4g,5.557.000,0,"Suba, Bogotá D.C..",+1000
Portatil Dell Vostro 3400 Core I5 1135g7 20gb 1tb + 500gb 14,2.079.000,0,"Cali, Valle Del Cauca.",+1000
"Laptop Asus M515DA slate gray 15.6"", AMD Ryzen 5 3500U  8GB de RAM 256GB SSD, AMD Radeon RX Vega 8 (Ryzen 2000/3000) 1920x1080px Windows 10 Home",2.300.000,0,"Chapinero, Bogotá D.C..",+100
"Laptop Lenovo V-Series V14-G2-ALC  iron gray 14"", AMD Ryzen 5 5500U  8GB de RAM 256GB SSD, AMD Radeon RX Vega 7 1366x768px",1.640.273,4.7,"Pasto, Nariño.",+100
Computador Portatil Hp Ryzen 5 20gb Ram 1tera Ssd Disco Win,2.675.000,0,"Bucaramanga, Santander.",+1000
"Portatil Asus M515da Ryzen 7 3700u 1tb +256gb 12gb Vega 15,6",2.549.900,4.0,"Medellín, Antioquia.",+100
"Laptop Lenovo IdeaPad 15IML05  platinum gray 15.6"", Intel Core i3 10110U  12GB de RAM 256GB SSD, Intel UHD Graphics 620 1920x1080px",2.899.900,0,"Cota, Cundinamarca.",+1000
"Laptop Asus X415EA gris 14"", Intel Core i3 1115G4  4GB de RAM 256GB SSD, Intel UHD Graphics Xe G4 48EUs 1920x1080px Linux Endless",1.357.108,4.7,"Chapinero, Bogotá D.C..",+100
"Laptop Lenovo IdeaPad 15ALC6  abyss blue 15.6"", AMD Ryzen 5 5500U  8GB de RAM 256GB SSD, AMD Radeon RX Vega 7 1920x1080px Windows 10 Home",2.100.000,0,"Chapinero, Bogotá D.C..",+500
"Laptop HP 255 G7 negra 15.6"", AMD Athlon 3020E  4GB de RAM 500GB HDD, AMD Radeon RX Vega 3 1366x768px Windows 10 Home",1.200.000,4.5,"Chapinero, Bogotá D.C..",+100
"Laptop gamer MSI Thin GF63 negra 15.6"", Intel Core i5 9300H  8GB de RAM 256GB SSD, NVIDIA GeForce GTX 1650 1920x1080px Windows 10 Home",3.499.000,4.5,"Suba, Bogotá D.C..",+100
Laptop Asus M3500qa-l1224 Ryzen 7 5800h 16gb 512gb Ssd,3.869.000,0,"Chapinero, Bogotá D.C..",+25
"Apple Macbook Air (13 pulgadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Plata",4.849.900,0,"Suba, Bogotá D.C..",+100
"Laptop Lenovo Chromebook C330 blizzard white táctil 11.6"", Mediatek MT8173C  4GB de RAM 64GB SSD, PowerVR GX6250 1366x768px Google Chrome",1.369.000,4.5,"Cali, Valle Del Cauca.",+100
Portatil Asus Ryzen 5 4600h Ram 16gb Solido 512gb Fhd Wifi+6,3.542.714,4.7,"Suba, Bogotá D.C..",+1000
"Laptop Dell Inspiron 3515 negra 15.5"", AMD Ryzen 5 3450U  8GB de RAM 256GB SSD, AMD Radeon RX Vega 8 (Ryzen 2000/3000) 1366x768px Windows 11",2.450.000,4.7,"Chapinero, Bogotá D.C..",+500
Macbook Pro 14  Chip M1 Pro 512gb - Gris Espacial,9.845.000,0,"Cota, Cundinamarca.",+1000
"Laptop Asus VivoBook M513 bespoke black 15.6"", AMD Ryzen 7 4700U  8GB de RAM 512GB SSD, AMD Radeon RX Vega 7 1920x1080px FreeDOS",3.079.900,4.9,"Bucaramanga, Santander.",+50
"Laptop Lenovo IdeaPad 15IML05  abyss blue 15.6"", Intel Core i3 10110U  12GB de RAM 256GB SSD, Intel UHD Graphics 620 1366x768px Windows 10 Home",1.754.521,0,"Chapinero, Bogotá D.C..",+100
"MacBook Air M2 2022 starlight 13.6"", Apple M2  8GB de RAM 256GB SSD, Apple M2 10-Core GPU 2560x1664px macOS",6.298.900,5.0,"Chapinero, Bogotá D.C..",+1000
"Laptop Asus VivoBook F415EA slate gray 14"", Intel Core i5 1135G7  8GB de RAM 256GB SSD, Intel Iris Xe Graphics G7 80EUs 60 Hz 1920x1080px Windows 10 Home",2.358.900,0,"Usaquén, Bogotá D.C..",+50
"Laptop Acer Aspire 5 A514-53 plata 14"", Intel Core i3 1005G1  8GB de RAM 512GB SSD, Intel UHD Graphics 60 Hz 1366x768px Windows 10 Home",1.700.000,0,"Chapinero, Bogotá D.C..",+500
"Laptop Asus X515EA slate gray 15.6"", Intel Core i7 1165G7  8GB de RAM 512GB SSD, Intel Iris Xe Graphics G7 96EUs 1920x1080px FreeDOS",3.089.900,5.0,"Medellín, Antioquia.",+100
"Laptop Lenovo IdeaPad S145-14AST  negra onix 14"", AMD A4-Series 9125  4GB de RAM 500GB HDD, AMD Radeon R3 1366x768px Windows 10 Home",956.362,4.7,"Chapinero, Bogotá D.C..",+100
"MacBook Air M1 2020 gris espacial 13.3"", Apple M1  8GB de RAM 256GB SSD, Apple M1 8-Core GPU 60 Hz 2560x1600px macOS",5.500.000,0,"Itaguí, Antioquia.",+100
Laptop Asus Tuf Onceava I5 11300h Ram 24gb Ssd 512gb Rtx3050,5.942.714,5.0,"Suba, Bogotá D.C..",+1000
Computador Portatil Hp Ryzen 5 16gb Ram 480gb Ssd Disco Win,2.320.000,4.0,"Bucaramanga, Santander.",+1000
"Portatil Asus Amd Ryzen 5-5500u Disco 512ssd,ram 20,fhd",2.799.900,0,"Medellín, Antioquia.",+100
Portatil Asus Core I5 1135g7 X415ea 20gb 256gb 14 Fhd Laptop,1.929.000,0,"Cali, Valle Del Cauca.",+1000
Portatil Asus M1402ia-ek094 Ryzen 5-4600h 512ssd 16gb Endles,2.289.000,4.8,"Chapinero, Bogotá D.C..",+100
"Portatil Asus M515da Ryzen 7 3700u 1tb +500gb 16gb Vega 15,6",2.800.000,0,"Cali, Valle Del Cauca.",+1000
Laptop Asus X415ea-ek1182 Intel Core I3 1115g4 14 4gb 256ssd,1.398.750,4.8,"Chapinero, Bogotá D.C..",+1000
"Laptop Asus Vivobook Ryzen 7 16gb 512gb Oled 15,6 Fhd",4.428.429,0,"Suba, Bogotá D.C..",+1000
"Laptop Asus VivoBook K513EA plateada 15.6"", Intel Core i7 1165G7  8GB de RAM 512GB SSD, Intel Iris Xe Graphics G7 96EUs 1920x1080px FreeDOS",4.000.000,4.8,"Chapinero, Bogotá D.C..",+100
"Laptop Dell Inspiron 3501 plata 15.55"", Intel Core i3 1005G1  4GB de RAM 1000GB HDD, Intel UHD Graphics G1 (Ice Lake 32 EU) 60 Hz 1366x768px Windows 10 Home",1.470.000,0,"Chapinero, Bogotá D.C..",+50
"Laptop Acer Aspire 5 A515-54 plateada 15.6"", Intel Core i5 10210U  8GB de RAM 512GB SSD, Intel UHD Graphics 620 60 Hz 1920x1080px Windows 10 Home",2.299.000,0,"Chapinero, Bogotá D.C..",+500
Portatil Computador Lenovo Intel Dual Core Ssd 512gb Ram8gb,1.169.900,0,"Bucaramanga, Santander.",+500
"Laptop HP 245 G8 negra 14"", AMD Ryzen 5 5500U  16GB de RAM 1TB HDD, AMD Radeon RX Vega 7 1366x768px FreeDOS",2.000.000,4.3,"Chapinero, Bogotá D.C..",+100
Portatil Asus Core I5 1135g7 X415ea 12gb 256gb 14 Fhd Laptop,1.879.000,0,"Cali, Valle Del Cauca.",+1000
Portátil Asus X415ea-ek1182 Corei3-1115g4 12gb 256ssd 14 Fhd,1.599.000,0,,0
Portátil Asus M513ua-l1304 Ryzen7 16gb Ssd512gb Oled15.6fhd ,4.576.418,0,"Chapinero, Bogotá D.C..",+500
Portátil Hp 245 G8 Amd Ryzen 5 5500u 8gb 256gb Ssd Freedos,1.521.900,5.0,"Chapinero, Bogotá D.C..",+500
"Laptop Huawei MateBook D15 gris 15.6"", Intel Core i5 10210U  8GB de RAM 512GB SSD, Intel UHD Graphics 620 1920x1080px Windows 10 Home",2.999.587,0,"Bucaramanga, Santander.",+50
"Laptop Dell Vostro 3405 negra 14"", AMD Ryzen 5 3450U  8GB de RAM 256GB SSD, AMD Radeon RX Vega 8 60 Hz 1920x1080px Windows 10 Pro",2.139.900,4.7,"Usaquén, Bogotá D.C..",+100
Portátil Dell Vostro 3400 I5-1135g7 16gb Ssd 250 + 1tb Win10,3.012.800,4.8,"Suba, Bogotá D.C..",+1000
Portatil Computador Lenovo Intel Dual Core Ssd 256gb Ram8gb ,1.089.900,0,"Bucaramanga, Santander.",+500
Portátil Hp 245 G7 Amd Athlon 3020e 14 4gb 1tb Windows 10 ,1.200.000,4.8,"Chapinero, Bogotá D.C..",+1000
"Portatil Asus M515da Ryzen 7 3700u 1tb +256gb 12gb Vega 15,6",2.549.900,0,"Medellín, Antioquia.",+100
Portatil Dell Vostro 3400 Core I5-1135g7 Ssd 480gb 8gb 14 Hd,2.119.900,0,"Bucaramanga, Santander.",+1000
"Portatil Dell Inspiron 15 5510 Ci7 8gb 512gb Ssd 15,6fhd W11",4.702.900,4.5,"Chapinero, Bogotá D.C..",+500
"Laptop Asus Vivobook 15 X1502 quiet blue 15.6"", Intel Core i5 1260P  8GB de RAM 512GB SSD, Intel Iris Xe Graphics G7 96EUs 1920x1080px Windows 11 Home",2.649.000,4.8,"Suba, Bogotá D.C..",+100
"MacBook Air M2 2022 midnight 13.6"", Apple M2  8GB de RAM 512GB SSD, Apple M2 10-Core GPU 2560x1664px macOS Monterrey",8.299.900,5.0,"Rafael Uribe Uribe, Bogotá D.C..",+100
Portátil Asus 14 Onceava Core I3-1115g4 8gb 256 Gb Ssd Fhd,1.942.714,0,"Suba, Bogotá D.C..",+1000
"Laptop HP 240 G7 plateado ceniza oscuro 14"", Intel Celeron N4100  4GB de RAM 500GB HDD, Intel UHD Graphics 600 1366x768px Windows 10 Home",1.150.000,4.7,"Chapinero, Bogotá D.C..",+500
"Portátil Acer Aspire3 Core I5 10a, 8gb Ram 256gb Ssd 15.6 ",1.889.900,0,"Medellín, Antioquia.",+100
Portátil Computador Hp Intel Dual Core Ram 8gb 256gb Ssd 14 ,1.099.900,5.0,"Bucaramanga, Santander.",+1000
"Portátil Asus X1502za-bq243 Core I5-1240p 512ssd 16gb 15,6 ",3.299.000,0,,0
Computador Portátil Asus Gamer Fa506ic Ryzen7 16gb Ssd 512gb,5.499.900,0,"Chapinero, Bogotá D.C..",+500
"Apple MacBook Pro (16 pulgadas, Chip M1 Pro de Apple con CPU de 10 núcleos, GPU de 16 núcleos, 16 GB RAM, 1 TB SSD) - gris espacial",12.705.000,5.0,"Antonio Nariño, Bogotá D.C..",+100
"Laptop HP 14-ck2101la negra 14"", Intel Celeron N4020  4GB de RAM 1TB HDD, Intel UHD Graphics 600 1366x768px FreeDOS",1.020.000,0,"Chapinero, Bogotá D.C..",+50
Portatil Asus R5 4600h 24gb Ram 512gb Solido Wifi+6 14pul,3.785.571,5.0,"Suba, Bogotá D.C..",+1000
"MacBook Air M1 2020 plata 13.3"", Apple M1  8GB de RAM 256GB SSD, Apple M1 8-Core GPU 2560x1600px macOS",4.789.000,0,"Chapinero, Bogotá D.C..",+100
"Apple MacBook Pro (13 pulgadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Gris espacial",6.663.452,5.0,"Suba, Bogotá D.C..",+100
Portatil Lenovo Ryzen 7 5700u Ram 16gb Ssd 512gb V14,2.459.000,0,"Cali, Valle Del Cauca.",+1000
Portatil Asus Zenbook Ryzen 5 5600h Ram 16gb Ssd512 Um425qa,3.359.000,0,"Cali, Valle Del Cauca.",+1000
Portatil Asus X409m Intel Celeron Ssd 128gb + 1 Tera 4gb Ram,1.285.571,0,"Suba, Bogotá D.C..",+1000
"Laptop Dell Inspiron 3501 negra 15.55"", Intel Core i3 1005G1  4GB de RAM 1TB HDD, Intel UHD Graphics G1 (Ice Lake 32 EU) 1366x768px Linux Ubuntu",1.500.000,0,"Aguachica, Cesar.",+5
Portatil Asus Tuf Fx516pc Core I5 16gb 512gb Ssd Rtx 3050,4.564.130,0,"Cali, Valle Del Cauca.",+1000
Portatil Asus Vivobook Ryzen 5 5500u Ram 8gb 512gb Fhd Oled,3.142.714,0,"Suba, Bogotá D.C..",+1000
"MacBook Air M2 2022 gris espacial 13.6"", Apple M2  8GB de RAM 256GB SSD, Apple M2 10-Core GPU 2560x1664px macOS",6.513.945,0,"Suba, Bogotá D.C..",+100
"Laptop Asus VivoBook X413JA bespoke black 14"", Intel Core i3 1005G1  8GB de RAM 512GB SSD 32GB Optane, Intel UHD Graphics G1 1366x768px Windows 10 Home",2.394.000,4.5,"Usaquén, Bogotá D.C..",+100
Portátil Hp 245 G8 Ryzen 5 Ram 16gb Ssd 256gb 14 ,1.729.888,0,"Chapinero, Bogotá D.C..",+500
Portatil Corporativo Lenovo T470 Core I7 7th 16g 500ssd Leer,2.680.000,4.7,"Teusaquillo, Bogotá D.C..",+50
Portátil Computador Hp Intel Dual Core Ram 8gb 256gb Ssd 14 ,1.099.900,0,"Bucaramanga, Santander.",+1000
Portatil Asus Pro 15 Oled Corei7-11370h 16gb 512 Ssd Rtx3050,6.739.000,0,"Chapinero, Bogotá D.C..",+25
Portatil Asus M1502ia-bq008 Ryzen 7-4800h 512ssd 8gb Endless,2.599.000,4.5,"Chapinero, Bogotá D.C..",+100
Computador Portátil Acer Core I5 Ram 8gb 256gb Ssd 15.6 ,1.949.900,0,"Ibagué, Tolima.",+100
Computador Portatil Hp Ryzen 5 16gb Ram 1tera Ssd Disco Win,2.449.900,0,"Bucaramanga, Santander.",+1000
"Laptop HP 240 G7 gris 14"", Intel Celeron N4000  4GB de RAM 500GB HDD, Intel UHD Graphics 600 1366x768px FreeDOS",1.150.000,0,"Chapinero, Bogotá D.C..",+500
Lenovo Gamer Legion 5 Pro 16ith6h  Core I7-11800h Rtx 3050,6.000.000,5.0,"Chapinero, Bogotá D.C..",+100
"Laptop HP 15-ef2519la plateada natural 15.6"", AMD Ryzen 5 5500U  8GB de RAM 512GB SSD, AMD Radeon RX Vega 7 1366x768px Windows 11 Home",3.022.880,0,"Cota, Cundinamarca.",+100
Macbook Air 13 8gb 256gb M1 Modelo 2020 Sellado,4.789.000,0,"Chapinero, Bogotá D.C..",+100
Computador Portátil Asus Gamer Fa506ic Ryzen7 32gb Ssd 512gb,4.849.888,0,"Chapinero, Bogotá D.C..",+500
Portátil Corporativo Lenovo T470 Core I7 7th 32g 1tb Ssd Lee,3.070.000,0,"Teusaquillo, Bogotá D.C..",+50
Portatil Lenovo Ryzen 3 5300u Ram 12gb Solido 512gb Fhd,2.285.571,0,"Suba, Bogotá D.C..",+1000
"Portatil Asus Amd Ryzen 5-5500u Disco 512ssd,ram 20,fhd",2.799.900,0,"Medellín, Antioquia.",+100
Portatil Lenovo Core I5 4gb+16gb 1tb + 500gb Ssd V14-iil ,2.509.000,0,"Cali, Valle Del Cauca.",+1000
"Laptop Dell Inspiron 3501 negra 15.55"", Intel Core i5 1135G7  8GB de RAM 256GB SSD, Intel Iris Xe Graphics G7 80EUs 60 Hz 1366x768px Linux Ubuntu",3.300.000,4.5,"Chapinero, Bogotá D.C..",+100
Portátil Dell 3505 Ryzen 5 3450u 16gb Ssd 256+1tb 15.6 Win10,2.888.429,0,"Suba, Bogotá D.C..",+1000
"Laptop HP 15-ef2503la plateada natural 15.6"", AMD Ryzen 3 5300U  4GB de RAM 256GB SSD, AMD Radeon RX Vega 6 (Ryzen 4000/5000) 1366x768px Windows 11 Home",1.441.256,4.7,"Chapinero, Bogotá D.C..",+25
Laptop Asus X415ja-bv2198 Intel Core I3 1005g1 4gb 256gb Ssd,1.367.000,0,"Chapinero, Bogotá D.C..",+1000
"Laptop Lenovo IdeaPad 14ITL05  graphite gray táctil 14"", Intel Core i5 1135G7  8GB de RAM 256GB SSD, Intel Iris Xe Graphics G7 80EUs 1920x1080px Windows 11 Home",2.970.000,0,"Teusaquillo, Bogotá D.C..",+50
Portatil Hp Amd Ryzen 5 5500u Ram 20gb Ssd 256gb 14-fq1052la,2.450.000,0,"Bucaramanga, Santander.",+1000
"Laptop Lenovo V-Series ADA  iron gray 14"", AMD Athlon Gold 3150U  4GB de RAM 128GB SSD, AMD Radeon RX Vega 3 1920x1080px Windows 10 Pro",1.458.788,4.5,"Chapinero, Bogotá D.C..",+100
Laptop Dell Inspiron 3511 Touch I5 11va 8gb 256gb W11 15.6,2.499.000,5.0,"Martires, Bogotá D.C..",+100
"Laptop HP 245 G8 negra 14"", AMD Ryzen 5 5500U  8GB de RAM 256GB SSD, AMD Radeon RX Vega 7 1366x768px Windows 11 Home",1.737.000,0,"Bucaramanga, Santander.",+1000
